SYMBOL,TIMESTAMP,TYPE,PRICE,RSI,SMA200,ATR,REASON,PROFIT
EURUSD,2024-03-19 13:00,WAIT,1.0853,37.1,0,0,NO_SIGNAL: RSI=37.1 | SMA200=1.09,
EURUSD,2024-03-19 14:00,WAIT,1.0857,40.4,0,0,NO_SIGNAL: RSI=40.4 | SMA200=1.09,
EURUSD,2024-03-19 15:00,WAIT,1.0865,47.4,0,0,NO_SIGNAL: RSI=47.4 | SMA200=1.09,
EURUSD,2024-03-19 16:00,WAIT,1.0862,45.7,0,0,NO_SIGNAL: RSI=45.7 | SMA200=1.09,
EURUSD,2024-03-19 17:00,WAIT,1.0867,49.5,0,0,NO_SIGNAL: RSI=49.5 | SMA200=1.09,
EURUSD,2024-03-19 18:00,WAIT,1.0867,49.5,0,0,NO_SIGNAL: RSI=49.5 | SMA200=1.09,
EURUSD,2024-03-19 19:00,WAIT,1.0866,48.6,0,0,NO_SIGNAL: RSI=48.6 | SMA200=1.09,
EURUSD,2024-03-19 20:00,WAIT,1.0868,50.7,0,0,NO_SIGNAL: RSI=50.7 | SMA200=1.09,
EURUSD,2024-03-19 21:00,WAIT,1.0870,51.7,0,0,NO_SIGNAL: RSI=51.7 | SMA200=1.09,
EURUSD,2024-03-19 22:00,WAIT,1.0868,50.6,0,0,NO_SIGNAL: RSI=50.6 | SMA200=1.09,
EURUSD,2024-03-19 23:00,WAIT,1.0868,50.6,0,0,NO_SIGNAL: RSI=50.6 | SMA200=1.09,
EURUSD,2024-03-20 00:00,WAIT,1.0866,48.0,0,0,NO_SIGNAL: RSI=48.0 | SMA200=1.09,
EURUSD,2024-03-20 01:00,WAIT,1.0867,49.4,0,0,NO_SIGNAL: RSI=49.4 | SMA200=1.09,
EURUSD,2024-03-20 02:00,WAIT,1.0867,49.4,0,0,NO_SIGNAL: RSI=49.4 | SMA200=1.09,
EURUSD,2024-03-20 03:00,WAIT,1.0872,54.9,0,0,NO_SIGNAL: RSI=54.9 | SMA200=1.09,
EURUSD,2024-03-20 04:00,WAIT,1.0873,56.2,0,0,NO_SIGNAL: RSI=56.2 | SMA200=1.09,
EURUSD,2024-03-20 05:00,WAIT,1.0870,51.5,0,0,NO_SIGNAL: RSI=51.5 | SMA200=1.09,
EURUSD,2024-03-20 06:00,WAIT,1.0870,51.5,0,0,NO_SIGNAL: RSI=51.5 | SMA200=1.09,
EURUSD,2024-03-20 07:00,WAIT,1.0873,55.8,0,0,NO_SIGNAL: RSI=55.8 | SMA200=1.09,
EURUSD,2024-03-20 08:00,WAIT,1.0870,50.9,0,0,NO_SIGNAL: RSI=50.9 | SMA200=1.09,
EURUSD,2024-03-20 09:00,WAIT,1.0855,37.0,0,0,NO_SIGNAL: RSI=37.0 | SMA200=1.09,
EURUSD,2024-03-20 10:00,WAIT,1.0841,28.6,0,0,NO_SIGNAL: RSI=28.6 | SMA200=1.09,
EURUSD,2024-03-20 11:00,WAIT,1.0844,31.4,0,0,NO_SIGNAL: RSI=31.4 | SMA200=1.09,
EURUSD,2024-03-20 12:00,WAIT,1.0846,34.2,0,0,NO_SIGNAL: RSI=34.2 | SMA200=1.09,
EURUSD,2024-03-20 13:00,WAIT,1.0845,33.4,0,0,NO_SIGNAL: RSI=33.4 | SMA200=1.09,
EURUSD,2024-03-20 14:00,WAIT,1.0848,37.7,0,0,NO_SIGNAL: RSI=37.7 | SMA200=1.09,
EURUSD,2024-03-20 15:00,WAIT,1.0853,43.0,0,0,NO_SIGNAL: RSI=43.0 | SMA200=1.09,
EURUSD,2024-03-20 16:00,WAIT,1.0857,46.6,0,0,NO_SIGNAL: RSI=46.6 | SMA200=1.09,
EURUSD,2024-03-20 17:00,WAIT,1.0864,53.1,0,0,NO_SIGNAL: RSI=53.1 | SMA200=1.09,
EURUSD,2024-03-20 18:00,WAIT,1.0870,57.7,0,0,NO_SIGNAL: RSI=57.7 | SMA200=1.09,
